Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y70(CreateFrom:n32,Dest:n8): {n32=8}
Y71(CreateFrom:n49,Dest:n16): {n49=8}
Y74(CreateFrom:n28,Dest:n47): {n28=8}
Y75(CreateFrom:n86,Dest:n40): {n86=8}
Y72(CreateFrom:n18,Dest:n84): {n18=8}
Y73(CreateFrom:n59,Dest:n21): {n59=8}
Y78(CreateFrom:n75,Dest:n87): {n75=8}
Y79(CreateFrom:n34,Dest:n1): {n34=8}
Y76(CreateFrom:n33,Dest:n1): {n33=8}
Y77(CreateFrom:n7,Dest:n47): {n7=8}
Y60(CreateFrom:n68,Dest:n11): {n68=8}
Y61(CreateFrom:n62,Dest:n30): {n27=2, n62=7}
Y62(CreateFrom:n60,Dest:n35): {n60=8}
Y63(CreateFrom:n71,Dest:n96): {n71=8}
Y64(CreateFrom:n89,Dest:n44): {n70=2, n89=7, n88=1}
Y65(CreateFrom:n91,Dest:n90): {n91=8}
Y66(CreateFrom:n95,Dest:n62): {n95=8}
Y67(CreateFrom:n20,Dest:n77): {n20=8}
Y68(CreateFrom:n45,Dest:n35): {n45=8}
Y69(CreateFrom:n54,Dest:n53): {n54=8}
